image_id,bbox
1,"[7, 10, 54, 51]"
2,"[7, 7, 43, 39]"
3,"[0, 5, 42, 40]"
4,"[7, 7, 40, 40]"
5,"[6, 6, 38, 40]"
6,"[8, 4, 49, 47]"
7,"[4, 2, 46, 43]"
8,"[2, 7, 41, 40]"
9,"[6, 4, 48, 43]"
10,"[12, 7, 48, 42]"
11,"[12, 12, 47, 47]"
12,"[6, 12, 47, 46]"
13,"[10, 15, 47, 49]"
14,"[9, 10, 46, 46]"
15,"[7, 8, 41, 42]"
16,"[6, 5, 68, 60]"
17,"[8, 6, 67, 59]"
18,"[2, 4, 63, 70]"
19,"[4, 5, 72, 49]"
20,"[8, 22, 74, 42]"
21,"[2, 0, 70, 54]"
22,"[7, 6, 73, 66]"
23,"[13, 7, 70, 48]"
24,"[2, 6, 69, 53]"
25,"[9, 8, 67, 51]"
26,"[5, 6, 63, 50]"
27,"[13, 13, 64, 44]"
28,"[9, 6, 55, 54]"
29,"[7, 8, 58, 50]"
30,"[0, 3, 60, 57]"
31,"[16, 4, 71, 54]"
32,"[6, 3, 46, 43]"
33,"[1, 1, 69, 48]"
34,"[4, 3, 65, 38]"
35,"[4, 2, 64, 50]"
36,"[6, 9, 63, 42]"
37,"[5, 10, 51, 43]"
38,"[16, 11, 49, 43]"
39,"[2, 1, 56, 47]"
40,"[0, 4, 60, 49]"
41,"[4, 3, 56, 47]"
42,"[2, 7, 58, 44]"
43,"[7, 7, 56, 45]"
44,"[7, 4, 56, 50]"
45,"[2, 2, 59, 48]"
46,"[0, 1, 49, 47]"
47,"[6, 10, 49, 42]"
48,"[3, 3, 45, 51]"
49,"[7, 3, 44, 43]"
50,"[6, 8, 52, 59]"
51,"[6, 4, 56, 47]"
52,"[7, 6, 44, 50]"
53,"[0, 4, 62, 54]"
55,"[2, 4, 68, 45]"
56,"[15, 10, 67, 57]"
57,"[7, 3, 75, 50]"
58,"[14, 16, 58, 54]"
59,"[0, 0, 68, 60]"
60,"[10, 1, 78, 62]"
61,"[18, 14, 78, 58]"
62,"[2, 1, 75, 45]"
63,"[4, 0, 55, 36]"
64,"[0, 2, 64, 40]"
65,"[1, 4, 63, 42]"
66,"[6, 4, 49, 43]"
67,"[5, 1, 55, 44]"
68,"[3, 1, 60, 53]"
69,"[5, 6, 64, 46]"
70,"[1, 2, 69, 50]"
71,"[1, 2, 59, 51]"
72,"[4, 3, 60, 49]"
73,"[9, 7, 57, 47]"
74,"[1, 2, 56, 48]"
75,"[4, 2, 57, 51]"
76,"[5, 15, 64, 39]"
77,"[3, 7, 61, 45]"
78,"[4, 1, 56, 50]"
79,"[8, 9, 65, 53]"
80,"[3, 2, 52, 54]"
81,"[7, 2, 51, 51]"
82,"[6, 6, 72, 53]"
83,"[1, 6, 49, 45]"
84,"[0, 2, 58, 51]"
85,"[5, 12, 46, 42]"
86,"[1, 5, 50, 50]"
87,"[12, 13, 44, 42]"
88,"[0, 1, 50, 52]"
89,"[1, 0, 44, 44]"
90,"[1, 3, 51, 42]"
91,"[9, 9, 46, 42]"
92,"[7, 12, 50, 41]"
93,"[8, 3, 48, 46]"
94,"[13, 5, 56, 53]"
95,"[6, 4, 47, 53]"
97,"[4, 4, 41, 43]"
98,"[1, 8, 41, 39]"
99,"[3, 8, 44, 39]"
100,"[5, 6, 49, 49]"
101,"[6, 11, 40, 40]"
102,"[4, 11, 44, 39]"
103,"[6, 11, 41, 40]"
104,"[4, 4, 40, 38]"
105,"[2, 6, 57, 52]"
106,"[16, 18, 42, 39]"
107,"[8, 12, 42, 41]"
108,"[4, 9, 45, 43]"
109,"[6, 12, 45, 46]"
110,"[22, 14, 44, 41]"
111,"[9, 5, 45, 49]"
112,"[9, 8, 44, 45]"
113,"[4, 7, 45, 45]"
114,"[5, 8, 42, 43]"
115,"[8, 11, 43, 45]"
116,"[12, 7, 50, 48]"
117,"[2, 8, 45, 45]"
118,"[7, 8, 47, 47]"
119,"[1, 1, 41, 40]"
120,"[1, 3, 39, 37]"
121,"[1, 7, 41, 37]"
122,"[10, 3, 36, 38]"
123,"[10, 4, 38, 37]"
124,"[9, 8, 35, 35]"
125,"[2, 6, 36, 37]"
126,"[5, 4, 36, 38]"
127,"[6, 6, 37, 37]"
128,"[14, 8, 38, 35]"
129,"[17, 3, 39, 37]"
130,"[13, 3, 36, 36]"
131,"[20, 8, 35, 35]"
132,"[9, 5, 38, 36]"
133,"[21, 3, 35, 36]"
134,"[5, 7, 35, 36]"
135,"[21, 4, 35, 36]"
136,"[8, 3, 39, 37]"
137,"[8, 11, 37, 38]"
138,"[1, 12, 35, 36]"
139,"[2, 12, 35, 34]"
140,"[7, 8, 35, 35]"
141,"[10, 9, 37, 35]"
142,"[1, 8, 37, 38]"
143,"[3, 7, 36, 40]"
144,"[6, 7, 37, 37]"
145,"[2, 9, 36, 36]"
146,"[0, 8, 38, 37]"
147,"[6, 9, 36, 38]"
148,"[0, 7, 38, 40]"
149,"[8, 4, 38, 39]"
150,"[8, 7, 40, 35]"
151,"[2, 7, 36, 37]"
152,"[3, 4, 45, 40]"
153,"[3, 1, 36, 37]"
154,"[4, 4, 37, 35]"
155,"[9, 1, 45, 52]"
156,"[8, 6, 41, 39]"
157,"[16, 4, 38, 40]"
158,"[0, 3, 44, 47]"
159,"[10, 10, 41, 39]"
160,"[16, 7, 39, 38]"
161,"[9, 7, 41, 41]"
